sensor,min,max,units
EC,0.5,2,mewS/cm
flowRateNFT,3,7,L/min
flowRateDWC,1,3,L/min
nitrate,10,20,mg/L
pH,7,9,
temperatureAmbient,70,85,F
temperatureWater,60,75,F
waterLevel,20,60,cm
humidity,70,90,%
